COUNTRY,GDP (BILLIONS),CODE
Georgia,16.13,GEO
Papua New Guinea,16.1,PNG
Senegal,15.88,SEN
Chad,15.84,TCD
Equatorial Guinea,15.4,GNQ
"Congo, Republic of the",14.11,COG
Turkmenistan,14.108892813744966,TKM
Panama,14.108892813744966,PAN
Yemen,14.108892813744966,YEM
Jordan,14.108892813744966,JOR
Tanzania,14.108892813744966,TZA
Ghana,14.108892813744966,GHA
Bolivia,14.108892813744966,BOL
Israel,14.108892813744966,ISR
Sint Maarten,14.108892813744966,SXM
Taiwan,14.108892813744966,TWN
Belgium,14.108892813744966,BEL
Austria,14.108892813744966,AUT
Norway,14.108892813744966,NOR
Bahrain,14.108892813744966,BHR
Cote d'Ivoire,14.108892813744966,CIV
Iran,14.108892813744966,IRN
United Arab Emirates,14.108892813744966,ARE
Hong Kong,14.108892813744966,HKG
Egypt,14.108892813744966,EGY
Serbia,14.108892813744966,SRB
Jamaica,13.92,JAM
Zimbabwe,13.74,ZWE
Albania,13.4,ALB
Burkina Faso,13.38,BFA
Namibia,13.11,NAM
Mauritius,12.72,MUS
Mali,12.04,MLI
South Sudan,11.89,SSD
Nicaragua,11.85,NIC
Mongolia,11.73,MNG
Laos,11.71,LAO
Madagascar,11.19,MDG
New Caledonia,11.1,NCL
Macedonia,10.92,MKD
Armenia,10.88,ARM
Malta,10.57,MLT
Benin,9.24,BEN
Tajikistan,9.16,TJK
Haiti,8.92,HTI
"Bahamas, The",8.65,BHM
Niger,8.29,NER
Rwanda,8.0,RWA
Moldova,7.74,MDA
Kyrgyzstan,7.65,KGZ
French Polynesia,7.15,PYF
Guinea,6.77,GIN
West Bank,6.64,WBG
Monaco,6.06,MCO
Kosovo,5.99,KSV
Jersey,5.77,JEY
Curacao,5.6,CUW
Sierra Leone,5.41,SLE
Suriname,5.27,SUR
Bermuda,5.2,BMU
Liechtenstein,5.11,LIE
Virgin Islands,5.08,VGB
Togo,4.84,TGO
Andorra,4.8,AND
Montenegro,4.66,MNE
Guam,4.6,GUM
Timor-Leste,4.51,TLS
Malawi,4.41,MWI
Mauritania,4.29,MRT
Barbados,4.28,BRB
Fiji,4.17,FJI
Isle of Man,4.08,IMN
Eritrea,3.87,ERI
Swaziland,3.84,SWZ
Guyana,3.14,GUY
Burundi,3.04,BDI
Guernsey,2.74,GGY
Aruba,2.52,ABW
Lesotho,2.46,LSO
Maldives,2.41,MDV
Somalia,2.37,SOM
Faroe Islands,2.32,FRO
Cayman Islands,2.25,CYM
Greenland,2.16,GRL
Bhutan,2.09,BTN
Liberia,2.07,LBR
Cabo Verde,1.98,CPV
San Marino,1.86,SMR
Gibraltar,1.85,GIB
Central African Republic,1.73,CAF
Belize,1.67,BLZ
Djibouti,1.58,DJI
Seychelles,1.47,SYC
Saint Lucia,1.35,LCA
Antigua and Barbuda,1.24,ATG
Northern Mariana Islands,1.23,MNP
Solomon Islands,1.16,SLB
British Virgin Islands,1.1,VGB
Guinea-Bissau,1.04,GNB
"Gambia, The",0.92,GMB
Grenada,0.84,GRD
Samoa,0.83,WSM
Vanuatu,0.82,VUT
Saint Kitts and Nevis,0.81,KNA
American Samoa,0.75,ASM
Saint Vincent and the Grenadines,0.75,VCT
Comoros,0.72,COM
Palau,0.65,PLW
Saint Martin,0.56,MAF
Dominica,0.51,DMA
Tonga,0.49,TON
Sao Tome and Principe,0.36,STP
"Micronesia, Federated States of",0.34,FSM
Saint Pierre and Miquelon,0.22,SPM
Marshall Islands,0.18,MHL
Anguilla,0.18,AIA
Cook Islands,0.18,COK
Falkland Islands (Islas Malvinas),0.16,FLK
Kiribati,0.16,KIR
Tuvalu,0.04,TUV
Niue,0.01,NIU
